SECTION_ID,WEEKDAY_NAME,BLOCK_NAME,ROOM
090070-10,Monday,Period 6 (US),US Gymnasium - Boys
090070-10,Thursday,Period 6 (US),US Gymnasium - Boys
090070-20,Monday,Period 3 (US),US Gymnasium - Boys
090070-20,Tuesday,Period 10 (US),US Gymnasium - Boys
090070-30,Thursday,Period 6 (US),US Gymnasium - Boys
090070-30,Friday,Period 5 (US),US Gymnasium - Boys
090070-40,Tuesday,Period 10 (US),US Gymnasium - Boys
090070-40,Wednesday,Period 9 (US),US Gymnasium - Boys
090070-50,Monday,Period 6 (US),US Gymnasium - Boys
090070-50,Friday,Period 5 (US),US Gymnasium - Boys
090070-60,Monday,Period 3 (US),US Gymnasium - Boys
090070-60,Wednesday,Period 9 (US),US Gymnasium - Boys
090080-10,Monday,Period 6 (US),US Gymnasium - Girls
090080-10,Thursday,Period 6 (US),US Gymnasium - Girls
090080-20,Monday,Period 3 (US),US Gymnasium - Girls
090080-20,Tuesday,Period 10 (US),US Gymnasium - Girls
090080-30,Thursday,Period 6 (US),US Gymnasium - Girls
090080-30,Friday,Period 5 (US),US Gymnasium - Girls
090080-40,Tuesday,Period 10 (US),US Gymnasium - Girls
090080-40,Wednesday,Period 9 (US),US Gymnasium - Girls
090080-50,Monday,Period 6 (US),US Gymnasium - Girls
090080-50,Friday,Period 5 (US),US Gymnasium - Girls
090080-60,Monday,Period 3 (US),US Gymnasium - Girls
090080-60,Wednesday,Period 9 (US),US Gymnasium - Girls
090170-10,Monday,Period 9 (US),US Classroom 705 Art
090170-10,Wednesday,Period 3 (US),US Classroom 705 Art
090170-15,Monday,Period 9 (US),US Classroom 705 Art
090170-15,Wednesday,Period 3 (US),US Classroom 705 Art
090170-20,Tuesday,Period 3 (US),US Classroom 705 Art
090170-20,Thursday,Period 3 (US),US Classroom 705 Art
090170-25,Tuesday,Period 3 (US),US Classroom 705 Art
090170-25,Thursday,Period 3 (US),US Classroom 705 Art
090170-30,Tuesday,Period 6 (US),US Classroom 705 Art
090170-30,Thursday,Period 9 (US),US Classroom 705 Art
090170-35,Tuesday,Period 6 (US),US Classroom 705 Art
090170-35,Thursday,Period 9 (US),US Classroom 705 Art
090170-40,Wednesday,Period 7 (US),US Classroom 705 Art
090170-40,Friday,Period 4 (US),US Classroom 705 Art
090170-45,Wednesday,Period 7 (US),US Classroom 705 Art
090170-45,Friday,Period 4 (US),US Classroom 705 Art
090270-10,Monday,Period 9 (US),US Classroom 702 Music
090270-10,Wednesday,Period 3 (US),US Classroom 702 Music
090270-15,Monday,Period 9 (US),US Classroom 702 Music
090270-15,Wednesday,Period 3 (US),US Classroom 702 Music
090270-20,Tuesday,Period 3 (US),US Classroom 702 Music
090270-20,Thursday,Period 3 (US),US Classroom 702 Music
090270-25,Tuesday,Period 3 (US),US Classroom 702 Music
090270-25,Thursday,Period 3 (US),US Classroom 702 Music
090270-30,Tuesday,Period 6 (US),US Classroom 702 Music
090270-30,Thursday,Period 9 (US),US Classroom 702 Music
090270-35,Tuesday,Period 6 (US),US Classroom 702 Music
090270-35,Thursday,Period 9 (US),US Classroom 702 Music
090270-40,Wednesday,Period 7 (US),US Classroom 702 Music
090270-40,Friday,Period 4 (US),US Classroom 702 Music
090270-45,Wednesday,Period 7 (US),US Classroom 702 Music
090270-45,Friday,Period 4 (US),US Classroom 702 Music
090370-10,Tuesday,Period 1 (US),US Classroom 406
090370-20,Friday,Period 3 (US),US Classroom 305
090370-30,Monday,Period 7 (US),US Classroom 304
090370-40,Friday,Period 6 (US),US Classroom 507
090370-50,Thursday,Period 7 (US),US Classroom 604
090370-60,Tuesday,Period 2 (US),US Classroom 406
090370-70,Tuesday,Period 4 (US),US Classroom 406
090701-10,Monday,Period 4 (US),US Learning Center
090701-10,Thursday,Period 8 (US),US Learning Center
090701-10,Friday,Period 3 (US),US Learning Center
090701-20,Tuesday,Period 7 (US),US Learning Center
090701-20,Wednesday,Period 6 (US),US Learning Center
090701-20,Friday,Period 6 (US),US Learning Center
090701-30,Monday,Period 10 (US),US Learning Center
090701-30,Wednesday,Period 2 (US),US Learning Center
090701-30,Thursday,Period 7 (US),US Learning Center
090701-40,Monday,Period 1 (US),US Learning Center
090701-40,Wednesday,Period 1 (US),US Learning Center
090701-40,Thursday,Period 10 (US),US Learning Center
090702-10,Monday,Period 6 (US),US Learning Center
090702-20,Thursday,Period 6 (US),US Learning Center
090702-30,Friday,Period 5 (US),US Learning Center
090702-40,Monday,Period 3 (US),US Learning Center
091000-10,Monday,Period 4 (US),US Classroom 307
091000-10,Tuesday,Period 1 (US),US Classroom 307
091000-10,Thursday,Period 8 (US),US Classroom 307
091000-10,Friday,Period 3 (US),US Classroom 307
091000-20,Monday,Period 7 (US),US Classroom 602
091000-20,Tuesday,Period 7 (US),US Classroom 602
091000-20,Wednesday,Period 6 (US),US Classroom 602
091000-20,Friday,Period 6 (US),US Classroom 602
091000-30,Monday,Period 10 (US),US Classroom 307
091000-30,Tuesday,Period 2 (US),US Classroom 307
091000-30,Wednesday,Period 2 (US),US Classroom 307
091000-30,Thursday,Period 7 (US),US Classroom 307
091000-40,Monday,Period 1 (US),US Classroom 602
091000-40,Tuesday,Period 4 (US),US Classroom 602
091000-40,Wednesday,Period 1 (US),US Classroom 602
091000-40,Thursday,Period 10 (US),US Classroom 602
091004-35,Monday,Period 10 (US),US Classroom 604
091004-35,Tuesday,Period 2 (US),US Classroom 305
091004-35,Wednesday,Period 2 (US),US Classroom 306
091004-35,Thursday,Period 7 (US),US Classroom 703
091004-45,Monday,Period 1 (US),US Classroom 305
091004-45,Tuesday,Period 4 (US),US Classroom 401
091004-45,Wednesday,Period 1 (US),US Classroom 306
091004-45,Thursday,Period 10 (US),US Classroom 307
092000-10,Monday,Period 4 (US),US Classroom 604
092000-10,Tuesday,Period 1 (US),US Classroom 604
092000-10,Thursday,Period 8 (US),US Classroom 604
092000-10,Friday,Period 3 (US),US Classroom 604
092000-15,Monday,Period 4 (US),US Classroom 501
092000-15,Tuesday,Period 1 (US),US Classroom 501
092000-15,Thursday,Period 8 (US),US Classroom 501
092000-15,Friday,Period 3 (US),US Classroom 501
092000-20,Monday,Period 7 (US),US Classroom 302
092000-20,Tuesday,Period 7 (US),US Classroom 305
092000-20,Wednesday,Period 6 (US),US Classroom 301
092000-20,Friday,Period 6 (US),US Classroom 301
092000-30,Monday,Period 10 (US),US Classroom 406
092000-30,Tuesday,Period 2 (US),US Classroom 604
092000-30,Wednesday,Period 2 (US),US Classroom 704 Computer
092000-30,Thursday,Period 7 (US),US Classroom 506
092000-35,Monday,Period 10 (US),US Classroom 501
092000-35,Tuesday,Period 2 (US),US Classroom 501
092000-35,Wednesday,Period 2 (US),US Classroom 501
092000-35,Thursday,Period 7 (US),US Classroom 501
092000-40,Monday,Period 1 (US),US Classroom 604
092000-40,Tuesday,Period 4 (US),US Classroom 604
092000-40,Wednesday,Period 1 (US),US Classroom 604
092000-40,Thursday,Period 10 (US),US Classroom 604
093032-20,Monday,Period 7 (US),US Classroom 507
093032-20,Tuesday,Period 7 (US),US Classroom 507
093032-20,Wednesday,Period 6 (US),US Classroom 507
093034-30,Monday,Period 10 (US),US Classroom 507
093034-30,Tuesday,Period 2 (US),US Classroom 507
093034-30,Wednesday,Period 2 (US),US Classroom 507
093041-20,Monday,Period 7 (US),US Classroom 506
093041-20,Tuesday,Period 7 (US),US Classroom 506
093041-20,Wednesday,Period 6 (US),US Classroom 506
093042-20,Tuesday,Period 7 (US),US Classroom 306
093042-20,Wednesday,Period 6 (US),US Classroom 306
093042-20,Friday,Period 6 (US),US Classroom 306
093044-10,Monday,Period 4 (US),US Classroom 306
093044-10,Thursday,Period 8 (US),US Classroom 306
093044-10,Friday,Period 3 (US),US Classroom 306
093044-15,Monday,Period 4 (US),US Classroom 305
093044-15,Tuesday,Period 1 (US),US SC-Seminar
093044-15,Thursday,Period 8 (US),US SC-Seminar
093044-30,Monday,Period 10 (US),US Classroom 306
093044-30,Wednesday,Period 2 (US),US Classroom 506
093044-30,Thursday,Period 7 (US),US SC-Seminar
093044-40,Monday,Period 1 (US),US Classroom 301
093044-40,Wednesday,Period 1 (US),US Classroom 506
093044-40,Thursday,Period 10 (US),US Classroom 501
094010-10,Monday,Period 9 (US),US SC-Seminar
094010-10,Tuesday,Period 6 (US),US SC-Seminar
094010-10,Wednesday,Period 3 (US),US Classroom 304
094010-10,Thursday,Period 9 (US),US Classroom 304
094011-10,Monday,Period 9 (US),US Classroom 603 Math
094011-10,Tuesday,Period 6 (US),US Classroom 603 Math
094011-10,Wednesday,Period 3 (US),US Classroom 603 Math
094011-10,Thursday,Period 9 (US),US Classroom 603 Math
094011-20,Tuesday,Period 3 (US),US Classroom 603 Math
094011-20,Wednesday,Period 7 (US),US Classroom 603 Math
094011-20,Thursday,Period 3 (US),US Classroom 603 Math
094011-20,Friday,Period 4 (US),US Classroom 603 Math
094012-10,Monday,Period 9 (US),US Classroom 606 Math
094012-10,Tuesday,Period 6 (US),US Classroom 606 Math
094012-10,Wednesday,Period 3 (US),US Classroom 606 Math
094012-10,Thursday,Period 9 (US),US Classroom 606 Math
094012-20,Tuesday,Period 3 (US),US Classroom 303 Math
094012-20,Wednesday,Period 7 (US),US Classroom 606 Math
094012-20,Thursday,Period 3 (US),US Classroom 606 Math
094012-20,Friday,Period 4 (US),US Classroom 606 Math
094013-10,Monday,Period 9 (US),US Classroom 602
094013-10,Tuesday,Period 6 (US),US Classroom 302
094013-10,Wednesday,Period 3 (US),US Classroom 302
094013-10,Thursday,Period 9 (US),US SC-Seminar
094014-20,Tuesday,Period 3 (US),US Classroom 604
094014-20,Wednesday,Period 7 (US),US Classroom 406
094014-20,Thursday,Period 3 (US),US Classroom 303 Math
094014-20,Friday,Period 4 (US),US Classroom 304
095001-20,Monday,Period 7 (US),US Classroom 504 Bio Lab
095001-20,Tuesday,Period 7 (US),US Classroom 504 Bio Lab
095001-20,Wednesday,Period 6 (US),US Classroom 504 Bio Lab
095001-20,Friday,Period 6 (US),US Classroom 504 Bio Lab
095001-40,Monday,Period 1 (US),US Classroom 504 Bio Lab
095001-40,Tuesday,Period 4 (US),US Classroom 504 Bio Lab
095001-40,Wednesday,Period 1 (US),US Classroom 504 Bio Lab
095001-40,Thursday,Period 10 (US),US Classroom 504 Bio Lab
095002-10,Monday,Period 4 (US),US Classroom 503 Chem Lab
095002-10,Tuesday,Period 1 (US),US Classroom 503 Chem Lab
095002-10,Thursday,Period 8 (US),US Classroom 503 Chem Lab
095002-10,Friday,Period 3 (US),US Classroom 503 Chem Lab
095002-20,Monday,Period 7 (US),US Classroom 604
095002-20,Tuesday,Period 7 (US),US Classroom 503 Chem Lab
095002-20,Wednesday,Period 6 (US),US Classroom 503 Chem Lab
095002-20,Friday,Period 6 (US),US Classroom 503 Chem Lab
095003-10,Monday,Period 4 (US),US Classroom 504 Bio Lab
095003-10,Tuesday,Period 1 (US),US Classroom 504 Bio Lab
095003-10,Thursday,Period 8 (US),US Classroom 504 Bio Lab
095003-10,Friday,Period 3 (US),US Classroom 504 Bio Lab
095011-30,Monday,Period 10 (US),US Classroom 504 Bio Lab
095011-30,Tuesday,Period 2 (US),US Classroom 504 Bio Lab
095011-30,Wednesday,Period 2 (US),US Classroom 503 Chem Lab
095011-30,Thursday,Period 7 (US),US Classroom 503 Chem Lab
095011-40,Monday,Period 1 (US),US Classroom 507
095011-40,Tuesday,Period 4 (US),US Classroom 503 Chem Lab
095011-40,Wednesday,Period 1 (US),US Classroom 503 Chem Lab
095011-40,Thursday,Period 10 (US),US Classroom 503 Chem Lab
095400-10,Monday,Period 9 (US),US Classroom 704 Computer
095400-10,Wednesday,Period 3 (US),US Classroom 704 Computer
095400-20,Wednesday,Period 7 (US),US Classroom 704 Computer
095400-20,Friday,Period 4 (US),US Classroom 704 Computer
095400-30,Tuesday,Period 6 (US),US Classroom 704 Computer
095400-30,Thursday,Period 9 (US),US Classroom 704 Computer
095400-40,Wednesday,Period 7 (US),US Classroom 703
095400-40,Friday,Period 4 (US),US Classroom 703
095400-50,Monday,Period 9 (US),US Classroom 703
095400-50,Wednesday,Period 3 (US),US Classroom 703
095400-60,Tuesday,Period 3 (US),US Classroom 704 Computer
095400-60,Thursday,Period 3 (US),US Classroom 704 Computer
095400-70,Tuesday,Period 6 (US),US Classroom 703
095400-70,Thursday,Period 9 (US),US Classroom 703
095400-80,Tuesday,Period 3 (US),US Classroom 703
095400-80,Thursday,Period 3 (US),US Classroom 703
096001-10,Monday,Period 8 (US),US Classroom 601
096001-10,Wednesday,Period 4 (US),US Classroom 602
096001-10,Thursday,Period 4 (US),US Classroom 601
096001-10,Friday,Period 1 (US),US Classroom 307
096002-10,Monday,Period 8 (US),US Classroom 302
096002-10,Wednesday,Period 4 (US),US Classroom 601
096002-10,Thursday,Period 4 (US),US Classroom 302
096002-10,Friday,Period 1 (US),US Classroom 501
096002-20,Monday,Period 8 (US),US Classroom 305
096002-20,Wednesday,Period 4 (US),US Classroom 401
096002-20,Thursday,Period 4 (US),US Classroom 306
096002-20,Friday,Period 1 (US),US Classroom 506
096411-10,Monday,Period 2 (US),US Classroom 502 Phys Lab
096411-10,Tuesday,Period 9 (US),US Classroom 305
096411-10,Wednesday,Period 10 (US),US Classroom 507
096411-10,Thursday,Period 2 (US),US Classroom 507
096411-10,Friday,Period 2 (US),US Classroom 502 Phys Lab
096413-10,Monday,Period 2 (US),US Classroom 401
096413-10,Tuesday,Period 9 (US),US Classroom 306
096413-10,Wednesday,Period 10 (US),US Classroom 601
096413-10,Thursday,Period 2 (US),US Classroom 603 Math
096413-10,Friday,Period 2 (US),US Classroom 201 Beit Midrash
096413-20,Monday,Period 2 (US),US Classroom 606 Math
096413-20,Tuesday,Period 9 (US),US Classroom 602
096413-20,Wednesday,Period 10 (US),US Classroom 602
096413-20,Thursday,Period 2 (US),US Classroom 602
096413-20,Friday,Period 2 (US),US Classroom 606 Math
096414-10,Monday,Period 2 (US),US Classroom 601
096414-10,Tuesday,Period 9 (US),US Classroom 507
096414-10,Wednesday,Period 10 (US),US Classroom 606 Math
096414-10,Thursday,Period 2 (US),US Library
096414-10,Friday,Period 2 (US),US Library
097001-10,Monday,Period 2 (US),US Classroom 302
097001-10,Tuesday,Period 9 (US),US Classroom 302
097001-10,Wednesday,Period 10 (US),US Classroom 302
097001-10,Thursday,Period 2 (US),US Classroom 302
097001-10,Friday,Period 2 (US),US Classroom 302
097002-10,Monday,Period 2 (US),US Classroom 501
097002-10,Tuesday,Period 9 (US),US Classroom 506
097002-10,Wednesday,Period 10 (US),US Classroom 305
097002-10,Thursday,Period 2 (US),US Classroom 502 Phys Lab
097002-10,Friday,Period 2 (US),US Classroom 406
097002-20,Monday,Period 2 (US),US Classroom 406
097002-20,Tuesday,Period 9 (US),US Classroom 601
097002-20,Wednesday,Period 10 (US),US Classroom 501
097002-20,Thursday,Period 2 (US),US Classroom 501
097002-20,Friday,Period 2 (US),US Classroom 602
097013-10,Tuesday,Period 8 (US),US Classroom 703
097013-10,Wednesday,Period 8 (US),US Classroom 703
097013-10,Thursday,Period 1 (US),US Classroom 703
097013-10,Friday,Period 1 (US),US Classroom 702 Music
097013-20,Tuesday,Period 8 (US),US Classroom 601
097013-20,Wednesday,Period 8 (US),US Classroom 601
097013-20,Thursday,Period 1 (US),US Classroom 601
097013-20,Friday,Period 1 (US),US Classroom 601
097013-30,Tuesday,Period 8 (US),US Classroom 704 Computer
097013-30,Wednesday,Period 8 (US),US Classroom 602
097013-30,Thursday,Period 1 (US),US Classroom 502 Phys Lab
097013-30,Friday,Period 1 (US),US Classroom 305
097014-10,Tuesday,Period 8 (US),US 4th Flr Conference Room
097014-10,Wednesday,Period 8 (US),US Classroom 201 Beit Midrash
097014-10,Thursday,Period 1 (US),US 4th Flr Conference Room
097014-10,Friday,Period 1 (US),US 4th Flr Conference Room
098013-10,Tuesday,Period 8 (US),US Classroom 602
098013-10,Wednesday,Period 8 (US),US Classroom 502 Phys Lab
098013-10,Thursday,Period 1 (US),US Classroom 507
098013-20,Tuesday,Period 8 (US),US Classroom 506
098013-20,Wednesday,Period 8 (US),US Classroom 506
098013-20,Thursday,Period 1 (US),US Classroom 306
098013-30,Tuesday,Period 8 (US),US Classroom 305
098013-30,Wednesday,Period 8 (US),US Classroom 603 Math
098013-30,Thursday,Period 1 (US),US Classroom 307
098013-40,Monday,Period 8 (US),US Classroom 306
098013-40,Wednesday,Period 4 (US),US Classroom 406
098013-40,Thursday,Period 4 (US),US Classroom 406
098013-50,Monday,Period 8 (US),US Classroom 307
098013-50,Wednesday,Period 4 (US),US Classroom 603 Math
098013-50,Thursday,Period 4 (US),US Classroom 301
098013-60,Monday,Period 8 (US),US Classroom 506
098013-60,Wednesday,Period 4 (US),US Classroom 305
098013-60,Thursday,Period 4 (US),US Classroom 401
099001-10,Monday,Period 6 (US),US Classroom 401
099001-10,Thursday,Period 6 (US),US Classroom 401
099001-10,Friday,Period 5 (US),US Classroom 401
099002-10,Monday,Period 6 (US),US Classroom 302
099002-10,Thursday,Period 6 (US),US Classroom 302
099002-10,Friday,Period 5 (US),US Classroom 304
099003-10,Monday,Period 3 (US),US Classroom 304
099003-10,Tuesday,Period 10 (US),US Classroom 304
099003-10,Wednesday,Period 9 (US),US Classroom 304
099004-10,Monday,Period 3 (US),US Classroom 301
099004-10,Tuesday,Period 10 (US),US Classroom 401
099004-10,Wednesday,Period 9 (US),US Classroom 302
099005-10,Monday,Period 3 (US),US Classroom 501
099005-10,Tuesday,Period 10 (US),US Classroom 601
099005-10,Wednesday,Period 9 (US),US Classroom 602
099006-10,Monday,Period 6 (US),US Classroom 406
099006-10,Thursday,Period 6 (US),US Classroom 406
099006-10,Friday,Period 5 (US),US Classroom 406
100070-10,Monday,Period 8 (US),US Gymnasium - Boys
100070-10,Wednesday,Period 8 (US),US Gymnasium - Boys
100070-20,Tuesday,Period 9 (US),US Gymnasium - Boys
100070-20,Wednesday,Period 6 (US),US Gymnasium - Boys
100070-30,Wednesday,Period 8 (US),US Gymnasium - Boys
100070-30,Thursday,Period 10 (US),US Gymnasium - Boys
100070-40,Wednesday,Period 6 (US),US Gymnasium - Boys
100070-40,Thursday,Period 1 (US),US Gymnasium - Boys
100070-50,Monday,Period 8 (US),US Gymnasium - Boys
100070-50,Thursday,Period 10 (US),US Gymnasium - Boys
100070-60,Tuesday,Period 9 (US),US Gymnasium - Boys
100070-60,Thursday,Period 1 (US),US Gymnasium - Boys
100080-10,Monday,Period 8 (US),US Gymnasium - Girls
100080-10,Wednesday,Period 8 (US),US Gymnasium - Girls
100080-20,Tuesday,Period 9 (US),US Gymnasium - Girls
100080-20,Wednesday,Period 6 (US),US Gymnasium - Girls
100080-30,Wednesday,Period 8 (US),US Gymnasium - Girls
100080-30,Thursday,Period 10 (US),US Gymnasium - Girls
100080-40,Wednesday,Period 6 (US),US Gymnasium - Girls
100080-40,Thursday,Period 1 (US),US Gymnasium - Girls
100080-50,Monday,Period 8 (US),US Gymnasium - Girls
100080-50,Thursday,Period 10 (US),US Gymnasium - Girls
100080-60,Tuesday,Period 9 (US),US Gymnasium - Girls
100080-60,Thursday,Period 1 (US),US Gymnasium - Girls
100170-10,Tuesday,Period 7 (US),US Classroom 705 Art
100170-10,Friday,Period 3 (US),US Classroom 705 Art
100170-15,Tuesday,Period 7 (US),US Classroom 705 Art
100170-15,Friday,Period 3 (US),US Classroom 705 Art
100170-20,Tuesday,Period 2 (US),US Classroom 705 Art
100170-20,Friday,Period 6 (US),US Classroom 705 Art
100170-25,Tuesday,Period 2 (US),US Classroom 705 Art
100170-25,Friday,Period 6 (US),US Classroom 705 Art
100170-30,Monday,Period 1 (US),US Classroom 705 Art
100170-30,Wednesday,Period 1 (US),US Classroom 705 Art
100170-35,Monday,Period 1 (US),US Classroom 705 Art
100170-35,Wednesday,Period 1 (US),US Classroom 705 Art
100170-40,Monday,Period 5 (US),US Classroom 705 Art
100170-40,Wednesday,Period 5 (US),US Classroom 705 Art
100170-45,Monday,Period 5 (US),US Classroom 705 Art
100170-45,Wednesday,Period 5 (US),US Classroom 705 Art
100270-10,Tuesday,Period 7 (US),US Classroom 702 Music
100270-10,Friday,Period 3 (US),US Classroom 702 Music
100270-15,Tuesday,Period 7 (US),US Classroom 702 Music
100270-15,Friday,Period 3 (US),US Classroom 702 Music
100270-20,Tuesday,Period 2 (US),US Classroom 702 Music
100270-20,Friday,Period 6 (US),US Classroom 702 Music
100270-25,Tuesday,Period 2 (US),US Classroom 702 Music
100270-25,Friday,Period 6 (US),US Classroom 702 Music
100270-30,Monday,Period 1 (US),US Classroom 702 Music
100270-30,Wednesday,Period 1 (US),US Classroom 702 Music
100270-35,Monday,Period 1 (US),US Classroom 702 Music
100270-35,Wednesday,Period 1 (US),US Classroom 702 Music
100270-40,Monday,Period 5 (US),US Classroom 702 Music
100270-40,Wednesday,Period 5 (US),US Classroom 702 Music
100270-45,Monday,Period 5 (US),US Classroom 702 Music
100270-45,Wednesday,Period 5 (US),US Classroom 702 Music
100370-10,Tuesday,Period 10 (US),US Classroom 501
100370-20,Wednesday,Period 7 (US),US Classroom 401
100370-30,Monday,Period 6 (US),US Classroom 304
100370-40,Tuesday,Period 6 (US),US Classroom 401
100370-50,Tuesday,Period 8 (US),US Classroom 202 Beit Knesset
100370-60,Wednesday,Period 3 (US),US Classroom 306
100701-10,Monday,Period 7 (US),US Learning Center
100701-10,Thursday,Period 5 (US),US Learning Center
100701-10,Friday,Period 1 (US),US Learning Center
100701-20,Monday,Period 6 (US),US Learning Center
100701-20,Thursday,Period 6 (US),US Learning Center
100701-20,Friday,Period 2 (US),US Learning Center
100701-30,Monday,Period 2 (US),US Learning Center
